Greek Forum of Refugees,Legal,"Kalidakis Str. 45, 00232 Athens, Greece",www.gfm.gr,9am-5pm,,,,,
Embassy of India,Embassies,,http://www.indianembassy.gr/,,,,,,
Embassy of Israel,Embassies,"Μαραθωνοδρόμων 1 Παλαιό Ψυχικό 154 52, Αθήνα",http://embassies.gov.il/athens/Pages/default.aspx,,,,,,
Solidarity Now,Legal,"Kleanthous Str. 3, Athens 10674",https://www.solidaritynow.org/en/,9am-9pm,,Free,,,
Praksis,Legal,"Stournari Str 57, Athens 10432",https://www.praksis.gr/el/,9am-5pm,,Free,,,
Zataar,Legal,"Mpotasi Str, 13, Exarchia, Athens 106 82",http://zaatarngo.org/,10am-9pm,,Free,,,
Greek Council for Refugees,Legal,"25 Solomou Str., 10682, Athens",http://www.gcr.gr/index.php/en/,9am-20pm,,Free,,,
Khora Community Center,Legal,"Asklipiou 80, Athina 114 71, Greece",http://www.khora-athens.org,,,Free,"37.9853236,23.741871400000036",,
Group of Lawyers for the Rights of Migrants and Refugees,Legal,Rethimnou Str. 11 and Ioulianou,http://omadadikigorwnenglish.blogspot.gr/,Tuesday 6pm-8pm,,Free,,,
Solidarity For All,Legal,"Akadimias 74, Athina 106 78",http://www.solidarity4all.gr/el,10:30-12:30.,Greek,Free,,,
"Embassy of Albania in Athens, Greece",Embassies,"Vekiareli 7 , Filothei 15237, Athens, Greece",http://www.ambasadat.gov.al/greece/en/,9am-5pm,English,,,,
Algerian Embassy in Greece,Embassies,"14, Av. Vassileos Constantinou, 116 35 Athens, Greece",https://www.embassypages.com/missions/embassy15184/,9am-2:30pm,English,,,,
"Embassy of Angola in Athens, Greece",Embassies,"El. Venizelou street 24, 152 37 Filothei, Athens, Greece",,9am-3pm,,,,,
"Bangladeshi Embassy in Athens, Greece",Embassies,"Leoforos Marathonodromon 119, 15452 Psychiko, Athens, Greece",http://bdembassy.gr/,9am-5pm,English,,,,
"Honorary Consulate of Cameroon in Athens, Greece",OfficialPlaces,"Stratigou Kallari 19, 154 52 P. Psychico, Athens Greece",https://www.consulate-info.com/consulate/15373/Cameroon-in-Athens,,English,,,,
"Embassy of Egypt in Athens, Greece",Embassies,"Vassilissis Sofias Av No. 3, 106 71",https://www.egyptembassy.org/location/greece/,,English,,,,
"Embassy of Ethiopia in Athens, Greece",Embassies,"253 Sigrou Avenue, 171 22 Athens, Greece",,,,,,,
German Embassy in Greece,Embassies,"Karaoli & Dimitiou 3, Athens",https://ellada.diplo.de/gr-el/vertretungen/botschaft,,Greek,,,,
Embassy of India in Greece,Embassies,"3 Kleanthous Street, 10674",,,,,,,
"Embassy of Lebanon in Athens, Greece",Embassies,"25 Martiou str. 6, 154 52 Paleo Psychico, Athens, Greece",,,,,,,
