"Category
(Write it always
in the same way)",Name,Address,Website,Hours,Language,Free / Pay,Coordinates (optional),Description (optional),Notes
"Possible Categories: 
WIFI, Food, Clothing
Shelters, Showers, Health,
Legal, Embassies,
Shops, LGBT, Family,
Children, Women
Disability, NGOs, ProTraining,
LangTraining, SimCards",,,,,"Posible values:
Greek, English","Posible values:
Free,  Pay",,,
Women,Melissa,"Feron 18, Athina 104 34, Greece",https://www.facebook.com/Melissanetworkgreece33/,,,,"37.992456,23.729663999999957",,
Children,Faros,"Ioulianou 18, Athina 106 82, Greece",http://www.faros.org.gr,,,,"37.9911063,23.732669299999998",,
Clothing,Caritas,"Kapodistriou 52, Athina 104 32, Greece; Tarella 3, Athina 104 38, Greece; Rene Pio 2, Athina 117 44, Greece",http://www.caritasathens.gr,,,,"37.9869876,23.727229699999953; 37.9876564,23.724174500000004; 37.9579558,23.72546280000006",,
Food,Solidarity4All,"Akadimias 74, Athina 106 78, Greece",www.solidarity4all.gr,,,,"37.983587,23.732831900000065",,
Health,MSF Day Center,"Solonos 133, Athina 106 77, Greece",,,,,"37.9855951,23.73249499999997",,
Health,KIFA,"Iktinou 2, Athina 105 52, Greece",http://www.kifa-athina.gr/,,,,,"Visit doctors by appointment only. Please call Monday, Wednesday and Friday from 11:00 to 17:00, Tuesday from 15:00 to 17:00 and Thursday from 11:00 to 15:00 at 210 38012037",
Health,Doctors of the World,,http://mdmgreece.gr/en/,,,,,,
Health,,,http://www.ecclesia.gr/greek/koinonia/koinonia.asp?what=2,,,,,,
Health,Red Cross,,http://www.redcross.gr/,,,,,,
Laundry,Ithaca laundry Alikarnassou,"Viktoros Ougko 15, Athina 104 37, Greece",http://ithacalaundry.gr/,,,,"37.9862192,23.723851400000058",,
Women,Sisters Mother Teresa,"Emonos 79, Athens 10442",0030 2108254770,,,,,,
Showers,Karitas,"Kapodistriou Str, 52, Athens 104 32",http://caritasathens.gr/en/,8am-4pm,Greek,Free,,,
Food,Karitas,"Kapodistriou Str, 52, Athens 104 32",http://caritasathens.gr/en/,10:30am-1pm,Greek,Free,,,
SimCards,Tazamobile,"58 Menandrou Str. Athens, Greece",http://tazamobile.com/taza/en/,,English,Pay,,,
