Communities,Afghan M&R Community,"Solomou 23,Athens 10682 , Greece",https://www.facebook.com/Afghans.inGreece/?hc_ref=SEARCH&fref=nf,appointment (694-645-8428),"Greek, English",Free,"37.9863174,23.726800400000002",
Communities,"Ethiopian Socio-Cultural Center ""Aithiops""","Skirou 22, Athina 113 62, Greece",https://web.facebook.com/Aithiops/?_rdc=1&_rdr,"appointment (694-849-8737)","Greek, English",Free,"37.9999399,23.741663300000027",
Communities,Ghanian Community in Greece,"Messinias str.19, Athens 11526",https://web.facebook.com/Ghanaiancommunitygreece/,appointment (69-866-00661),"Greek, English",Free,"37.9898528,23.766888999999992",
Communities,Association of Cameroonians of Greece,"Sirou 22, Athina 113 61, Greece",Cameroon_community_greece@yahoo.com,"appointment (694-829-4464)","Greek, English",Free,"38.0003136,23.736616599999934",
Communities,Congolese Community in Greece,"Athanasiou St. 5, Athens 156 69",,appointment (697-423-8561),"Greek, English",Free,"37.9993255,23.74274390000005",
Communities,Nigerian Women Organisation of Greece,"I. Drossopoulou 197, Athina 112 55, Greece",https://www.facebook.com/Nigerian-Women-Organisation-Athens-Greece-223700537658724/,"appointment (697-920-6267)","Greek, English",Free,"38.0103954,23.736111100000016",
Communities,Nigerian Community of Greece,,https://www.facebook.com/Nigerian-Community-Greece-293700914084982/,"appointment (698-470-8953)","Greek, English",Free,,
Communities,Association of Senegalese of Athens,"Akominatou 51, Athina 104 38, Greece",https://www.facebook.com/Association-des-Senegalais-dAthenes-Grece-288651824647347/?hc_ref=ARTIpbM7MsyMf3t8RYca70jQi_WnALlWKBJvn21tTBin1Z2e0s7H7e95quQKzMYpISc,appointment (694-779-6333),"Greek, English",Free,"37.9882879,23.72380659999999",
Communities,African Network in Greece,,https://www.facebook.com/africannetworkingreece/,appointment (698-660-0661),"Greek, English",Free,,
Communities,United African Women Organization Greece,"Kosma Etolou St. 2, Athens 114 71",https://www.facebook.com/UnitedAfricanWomenGr/?hc_ref=ARTVPSSEq9wRXnvMnUdlJXcwhmW58peT2p6PdkgMOEwIzKm5duzLVo-NHsgcWtU8Qzs&fref=nf  ,appointment (693-838-7351),"Greek, English",Free,"37.9872004,23.74948519999998",
Communities,Bangladeshi Community of Greece,"Diplari St. 5, Theatrou Square",https://www.facebook.com/groups/672019492852330/about/,"appointment (694-640-7103)","Greek, English",Free,"37.9804343,23.72521919999997",
Communities,Greek Pakistan Association of Greece,"Sofokleous St.53D, Athens 105 53",,appointment (694-478-5044),"Greek, English",Free,"37.981564,23.723766899999987",
Communities,"Egyptian Community in Greece ""El Rapto""",,a6att964@gmail.com,appointment (693-896-7088),"Greek, English",Free,,
Communities,Palestinian Workers Union in Greece,"3is Septemvriou 48b, Athina 104 33, Greece",https://www.facebook.com/groups/429681084065567/,appointment (693-753-7461),"Greek, English",Free,"37.9890174,23.729318199999966",
Communities,Sudanese Refugees Association - Greece,,https://www.facebook.com/Sudanese.rag/,appointment (210-823-5944),"Greek, English",Free,,
Communities,Syrian House in Greece,,https://www.facebook.com/syriagreece/?ref=br_rs,appointment (693-255-6660),"Greek, English",Free,,
Communities,Arab Association in Ambelokipi - Athens,,,appointment (693-955-6789),"Greek, English",Free,,
Women,Melissa,"Feron 18, Athens 104 34, Greece",https://www.facebook.com/Melissanetworkgreece33/,Monday-Friday 10am-7pm,"Greek, English",Free ,"37.992456,23.729663999999957",,
Women,Sisters Mother Teresa,"Emonos 79, Athens 10442",,Monday-Friday 9am-4pm,"Greek, English",Free ,"37.9959501,23.70727260000001",,appointment (210-825-4770)
Women,Faros,"Ioulianou 18, Athens 106 82, Greece",http://www.faros.org.gr,Monday-Friday 10am-6pm,English,Free ,"37.9911063,23.732669299999998",,
Women,Civis Plus,"Koleti str. 40-42, Athens 10677",http://civisplus.gr/?s=,Monday-Friday 9am-5pm,"Greek, English",Free,"37.985529,23.73075730000005",,
Women,Elix NGO,"28is Oktovriou 20, Athens 106 77",http://www.elix.org.gr/index.php/el/,Monday-Friday 11am-4pm,"Greek, English",Free,"37.9854658,23.72984150000002",,
Family,Khora Community Centre,"Asklipiou 80, Athina 114 71, Greece",http://www.khora-athens.org,Monday-Friday 10am-7pm; Saturday 10am-5pm,English,Free,"37.9853236,23.741871400000036",,
Women,Metadrasi,"25th of March str. 7, Athens 177 78",http://metadrasi.org/,Monday-Friday 10am-6pm,"Greek, English",Free,"37.9698532,23.6985909",,
Children,Elix NGO,"28is Oktovriou 20, Athens 106 77",http://www.elix.org.gr/index.php/el/,Monday-Friday 11am-4pm,"Greek, English",Free,"37.9854658,23.72984150000002",,
Children,Network for Children's Rights,"Alkamenous str. 11B, Athens 104 39",http://ddp.net.gr/,Monday-Friday 9am-6pm,"Greek, English",Free,"37.991465,23.724320000000034",,
Children,Organization Earth,"Konstantinoupoleos Av. 44, Athens 118 54",http://www.organizationearth.org/en/,Monday-Friday 10am-6pm,"Greek, English",Free,"37.9778103,23.70902000000001",,
Children,Faros,"Ioulianou 18, Athens 106 82, Greece",http://www.faros.org.gr,Monday-Friday 10am-6pm,English,Free ,"37.9911063,23.732669299999998",,
Children,Civis Plus,"Koleti str. 40-42, Athens 10677",http://civisplus.gr/?s=,Monday-Friday 9am-5pm,"Greek, English",Free,"37.985529,23.73075730000005",,
Children,Metadrasi,"25th of March str. 7, Athens 177 78",http://metadrasi.org/,Monday-Friday 10am-6pm,"Greek, English",Free,"37.9698532,23.6985909",,
Children,Melissa,"Feron 18, Athina 104 34, Greece",https://www.facebook.com/Melissanetworkgreece33/,Monday-Friday 10am-7pm,English,Free,"37.992456,23.729663999999957",,
Children,Khora Community Centre,"Asklipiou 80, Athina 114 71, Greece",http://www.khora-athens.org,Monday-Friday 10am-7pm; Saturday 10am-5pm,English,Free,"37.9853236,23.741871400000036",,
Children,Faros,"Ioulianou 18, Athens 106 82, Greece",http://www.faros.org.gr,Monday-Friday 10am-6pm,English,Free ,"37.9911063,23.732669299999998",,
Health,MSF Day Center,"Solonos 133, Athens 106 77, Greece",http://www.msf.org/en/where-we-work/greece,Monday-Friday 10am-3pm,English,Free ,"37.9855951,23.73249499999997",,
Health,KIFA,"Iktinou 2, Athens 105 52, Greece",http://www.kifa-athina.gr/,Monday-Friday 11am-6pm,"Greek, English",Free ,"37.9821276,23.726637500000038","Visit doctors by appointment only. Please call Monday,Wednesday and Friday from 11:00 to 17:00, Tuesday from 15:00 to 17:00 and Thursday from 11:00 to 15:00 at 210 38012037",
Health,Doctors of the World,"Sapfous 12, Athens 105 53",http://mdmgreece.gr/en/,Monday-Friday 9am-3pm,"Greek, English",Free ,"37.9812551,23.72347430000002",,
Health,Ecclesia,"Akominatou 23, Athens 104 37",http://www.ecclesia.gr/greek/koinonia/koinonia.asp?what=2,appointment (210-322-9248),Greek,Free ,"37.9860438,23.723163500000055",,
Health,Red Cross,"3rd September str, 21, Athens 104 32",http://www.redcross.gr/,appointment (210-523-0043),Greek,Free ,"33.9519347,-83.35756700000002",,
Health,Praksis,"Paioniou str, 5, Athens 104 40",https://www.praksis.gr/el,Monday-Friday 9am-5pm,Greek,Free,"37.9934731,23.72676350000006",,
Laundry,Ithaca laundry Alikarnassou,"Viktoros Ougko 15, Athina 104 37, Greece",http://ithacalaundry.gr/,appointment (211-411-6300),"Greek, English",Free ,"37.9862192,23.723851400000058",,
Clothing,Jesuit refugee service shelter,"Smyrnis str 27, Acharnon",https://www.facebook.com/jrsellada/,Monday-Friday 10am-4pm,English,Free,"37.9900786,23.72667469999999",,
Clothing,Caritas,"Kapodistriou 52, Athens 104 32, Greece; Tarella 3, Athina 104 38, Greece; Rene Pio 2, Athina 117 44, Greece",http://www.caritasathens.gr,Monday-Friday 10am-5pm,"Greek, English",Free ,"37.9869876,23.727229699999953; 37.9876564,23.724174500000004; 37.9579558,23.72546280000006",,
